time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-20T14:59:06.780Z,-5.0078,153.579,56.88,5,mb,,99,1.627,0.6,us,us20008kwg,2017-05-17T01:19:33.040Z,"85km SE of Taron, Papua New Guinea",earthquake,4.9,6.8,0.058,95,reviewed,us,us
2017-02-20T07:53:01.680Z,-37.6405,179.0108,11.37,5.1,mb,,44,0.564,0.78,us,us20008kvk,2017-05-17T01:19:33.040Z,"142km NE of Gisborne, New Zealand",earthquake,7.1,3.3,0.08,51,reviewed,us,us
2017-02-20T07:45:10.440Z,-5.1484,-74.9088,10.22,5.1,mww,,29,3.372,0.91,us,us20008kvi,2017-05-17T01:19:33.040Z,"85km E of Lagunas, Peru",earthquake,6.6,3.2,0.078,16,reviewed,us,us
2017-02-20T06:10:35.580Z,2.3937,95.2982,17.34,5,mb,,54,2.52,0.81,us,us20008kva,2017-05-17T01:19:33.040Z,"120km W of Sinabang, Indonesia",earthquake,8,3.5,0.068,70,reviewed,us,us
2017-02-20T03:56:45.190Z,-11.5455,166.3501,49.66,5,mb,,53,6.635,0.82,us,us20008kus,2017-05-17T01:19:33.040Z,"107km SSE of Lata, Solomon Islands",earthquake,8.6,5.1,0.047,145,reviewed,us,us
2017-02-19T19:10:04.620Z,-6.4706,152.5702,27.26,5,mb,,109,2.3,1.22,us,us20008ku0,2017-05-17T01:19:32.040Z,"227km SSW of Taron, Papua New Guinea",earthquake,10.7,4,0.072,61,reviewed,us,us
2017-02-19T15:14:07.500Z,-6.4023,104.6528,45.93,5.1,mb,,82,2.639,0.81,us,us20008ksv,2017-05-17T01:19:32.040Z,"100km S of Kotaagung, Indonesia",earthquake,6.7,5.9,0.067,72,reviewed,us,us
2017-02-19T14:08:44.500Z,-11.6154,166.5678,126.08,5,mb,,94,9.132,0.73,us,us100085rg,2017-05-17T01:19:32.040Z,"127km SE of Lata, Solomon Islands",earthquake,13,8.7,0.11,29,reviewed,us,us
2017-02-19T10:42:08.390Z,13.7674,147.5275,10,5.1,mb,,59,2.59,0.62,us,us20008ksf,2017-05-17T01:19:32.040Z,"244km ESE of JP Tinian Town pre-WW2, Northern Mariana Islands",earthquake,10.1,1.9,0.064,78,reviewed,us,us
2017-02-19T09:19:31.080Z,35.6621,140.7523,42,5.4,mww,,82,2.202,1.27,us,us20008ks7,2017-05-17T01:19:32.040Z,"10km SW of Hasaki, Japan",earthquake,6.4,1.9,0.071,19,reviewed,us,us
2017-02-18T12:10:17.970Z,-23.8613,-66.6592,222,6.4,mww,,28,2.415,1.23,us,us20008kn8,2017-05-13T01:03:24.040Z,"52km NW of San Antonio de los Cobres, Argentina",earthquake,6.9,1.8,0.04,60,reviewed,us,us
2017-02-17T11:21:28.910Z,-2.4436,140.0153,15,5.1,mwb,,12,7.772,0.8,us,us20008kez,2017-05-13T01:03:23.040Z,"66km WNW of Abepura, Indonesia",earthquake,7.3,1.7,0.066,22,reviewed,us,us
2017-02-16T21:44:05.130Z,18.7358,145.1448,345.62,5,mb,,28,5.124,0.88,us,us20008kc8,2017-05-13T01:03:22.040Z,"55km W of Agrihan, Northern Mariana Islands",earthquake,9.5,5.8,0.032,314,reviewed,us,us
